milb_id,mlb_id,mlb,war,draft,bats,throws,height,weight,positions,designated,first,second,third,shortstop,catcher,outfielder
hayden001ala,none,0,nan,19.0,left,left,71.0,165.0,Outfielder,0,0,0,0,0,0,1
bauers000jak,none,0,nan,7.0,left,left,73.0,195.0,First Baseman and Outfielder,0,1,0,0,0,0,1
gariba001ant,none,0,nan,37.0,right,right,73.0,200.0,Third Baseman and Shortstop,0,0,0,1,1,0,0
corona001ram,none,0,nan,26.0,right,right,71.0,190.0,"Shortstop, Second Baseman and Leftfielder",0,0,1,0,1,0,0
thomas005jam,none,0,nan,15.0,right,right,76.0,215.0,First Baseman and Outfielder,0,1,0,0,0,0,1
trapp001jus,none,0,nan,34.0,right,right,70.0,165.0,"Second Baseman, Outfielder and Shortstop",0,0,1,0,1,0,1
panthe001nat,none,0,nan,15.0,left,left,74.0,180.0,Outfielder,0,0,0,0,0,0,1
willia004ray,none,0,nan,nan,right,right,70.0,185.0,Outfielder,0,0,0,0,0,0,1
na001jim,none,0,nan,nan,left,right,72.0,205.0,Outfielder and First Baseman,0,1,0,0,0,0,1
jaha001joh,jahajo01,1,12.4,14.0,right,right,73.0,195.0,First Baseman and Third Baseman,0,1,0,1,0,0,0
bacon001dwa,none,0,nan,16.0,both,right,71.0,190.0,Outfielder,0,0,0,0,0,0,1
mcnabb001cha,none,0,nan,3.0,right,right,70.0,170.0,Second Baseman,0,0,1,0,0,0,0
halcom000ste,none,0,nan,nan,right,right,70.0,180.0,"Shortstop, Third Baseman and Second Baseman",0,0,1,1,1,0,0
sanche008vic,none,0,nan,nan,left,right,71.0,170.0,Outfielder,0,0,0,0,0,0,1
hrabar001sha,none,0,nan,nan,left,right,74.0,188.0,Outfielder,0,0,0,0,0,0,1
sweene002jam,none,0,nan,9.0,right,right,73.0,197.0,Catcher,0,0,0,0,0,1,0
santan003ram,none,0,nan,nan,right,right,69.0,152.0,"Shortstop, Second Baseman and Leftfielder",0,0,1,0,1,0,0
dove000sam,none,0,nan,14.0,right,right,74.0,190.0,"Second Baseman, First Baseman and Third Baseman",0,1,1,1,0,0,0
sass001jam,none,0,nan,nan,right,right,72.0,190.0,Outfielder,0,0,0,0,0,0,1
iataro001aar,none,0,nan,nan,left,left,71.0,189.0,Outfielder,0,0,0,0,0,0,1
dayleg001ter,none,0,nan,22.0,right,right,72.0,170.0,"Shortstop, Third Baseman and Second Baseman",0,0,1,1,1,0,0
robins001jim,none,0,nan,21.0,right,right,72.0,190.0,Catcher,0,0,0,0,0,1,0
crowe001ron,none,0,nan,38.0,right,right,72.0,175.0,"Third Baseman, Outfielder and First Baseman",0,1,0,1,0,0,1
